BrokerID,InvestorID,InstrumentID,OrderRef,UserID,ExchangeID,TradeID,Direction,OrderSysID,ParticipantID,ClientID,TradingRole,ExchangeInstID,OffsetFlag,HedgeFlag,Price,Volume,TradeDate,TradeTime,TradeType,PriceSource,TraderID,OrderLocalID,ClearingPartID,BusinessUnit,SequenceNo,TradingDay,SettlementID,BrokerOrderSeq,TradeSource,InvestUnitID
b'9999',b'044392',b'sc2012',b'32',b'044392',b'INE',b'         654',b'0',b'         752',b'9999',b'9999044392',b'',b'sc2012',b'0',b'1',230.0,1,b'20201105',b'18:40:32',b'',b'',b'9999cag',b'          36',b'9999',b'',49,b'20201106',1,884,b'0',b''
b'9999',b'044392',b'sc2012',b'1',b'044392',b'INE',b'         655',b'1',b'         753',b'9999',b'9999044392',b'',b'sc2012',b'3',b'1',229.9,1,b'20201105',b'18:40:39',b'',b'',b'9999cag',b'          37',b'9999',b'',51,b'20201106',1,885,b'0',b''
b'9999',b'044392',b'sc2012',b'2',b'044392',b'INE',b'         656',b'0',b'         754',b'9999',b'9999044392',b'',b'sc2012',b'0',b'1',230.0,25,b'20201105',b'18:41:28',b'',b'',b'9999cag',b'          38',b'9999',b'',53,b'20201106',1,886,b'0',b''
b'9999',b'044392',b'sc2012',b'6',b'044392',b'INE',b'         658',b'1',b'         756',b'9999',b'9999044392',b'',b'sc2012',b'3',b'1',230.3,25,b'20201105',b'18:42:52',b'',b'',b'9999cag',b'          39',b'9999',b'',55,b'20201106',1,888,b'0',b''
b'9999',b'044392',b'sc2012',b'1',b'044392',b'INE',b'         683',b'1',b'         782',b'9999',b'9999044392',b'',b'sc2012',b'3',b'1',231.5,40,b'20201105',b'18:52:07',b'',b'',b'9999cag',b'          41',b'9999',b'',60,b'20201106',1,915,b'0',b''
b'9999',b'044392',b'sc2012',b'1',b'044392',b'INE',b'         700',b'0',b'         801',b'9999',b'9999044392',b'',b'sc2012',b'0',b'1',231.1,35,b'20201105',b'18:56:39',b'',b'',b'9999cag',b'          42',b'9999',b'',62,b'20201106',1,936,b'0',b''
b'9999',b'044392',b'sc2012',b'1',b'044392',b'INE',b'         711',b'1',b'         815',b'9999',b'9999044392',b'',b'sc2012',b'3',b'1',231.2,35,b'20201105',b'18:58:57',b'',b'',b'9999cag',b'          43',b'9999',b'',64,b'20201106',1,953,b'0',b''
b'9999',b'044392',b'sc2012',b'13',b'044392',b'INE',b'         739',b'1',b'         845',b'9999',b'9999044392',b'',b'sc2012',b'3',b'1',231.1,10,b'20201105',b'19:04:20',b'',b'',b'9999cag',b'          44',b'9999',b'',66,b'20201106',1,987,b'0',b''
b'9999',b'044392',b'a2101',b'41',b'044392',b'DCE',b'         744',b'0',b'         852',b'9999',b'9999044392',b'',b'a2101',b'0',b'1',5216.0,1,b'20201105',b'19:05:01',b'',b'',b'9999caf',b'          65',b'9999',b'',103,b'20201106',1,995,b'0',b''
b'9999',b'044392',b'a2101',b'43',b'044392',b'DCE',b'         749',b'0',b'         863',b'9999',b'9999044392',b'',b'a2101',b'0',b'1',5214.0,1,b'20201105',b'19:07:55',b'',b'',b'9999caf',b'          67',b'9999',b'',108,b'20201106',1,1013,b'0',b''
b'9999',b'044392',b'a2101',b'1',b'044392',b'DCE',b'         750',b'1',b'         864',b'9999',b'9999044392',b'',b'a2101',b'1',b'1',5212.0,1,b'20201105',b'19:08:05',b'',b'',b'9999caf',b'          68',b'9999',b'',110,b'20201106',1,1014,b'0',b''
b'9999',b'044392',b'sc2012',b'1',b'044392',b'INE',b'        1869',b'0',b'        2283',b'9999',b'9999044392',b'',b'sc2012',b'0',b'1',229.8,18,b'20201105',b'19:51:29',b'',b'',b'9999cag',b'          45',b'9999',b'',84,b'20201106',1,2734,b'0',b''
b'9999',b'044392',b'sc2012',b'2',b'044392',b'INE',b'        1871',b'0',b'        2285',b'9999',b'9999044392',b'',b'sc2012',b'0',b'1',229.7,18,b'20201105',b'19:51:41',b'',b'',b'9999cag',b'          46',b'9999',b'',86,b'20201106',1,2737,b'0',b''
b'9999',b'044392',b'sc2012',b'1',b'044392',b'INE',b'        1888',b'1',b'        2312',b'9999',b'9999044392',b'',b'sc2012',b'3',b'1',229.8,36,b'20201105',b'19:52:49',b'',b'',b'9999cag',b'          47',b'9999',b'',88,b'20201106',1,2776,b'0',b''
b'9999',b'044392',b'sc2012',b'1',b'044392',b'INE',b'        2041',b'0',b'        2682',b'9999',b'9999044392',b'',b'sc2012',b'0',b'1',229.9,18,b'20201105',b'20:09:03',b'',b'',b'9999cag',b'          48',b'9999',b'',90,b'20201106',1,3364,b'0',b''
b'9999',b'044392',b'sc2012',b'2',b'044392',b'INE',b'        2043',b'0',b'        2684',b'9999',b'9999044392',b'',b'sc2012',b'0',b'1',229.9,18,b'20201105',b'20:09:15',b'',b'',b'9999cag',b'          49',b'9999',b'',92,b'20201106',1,3367,b'0',b''
b'9999',b'044392',b'sc2012',b'4',b'044392',b'INE',b'        2048',b'1',b'        2694',b'9999',b'9999044392',b'',b'sc2012',b'3',b'1',229.9,18,b'20201105',b'20:09:39',b'',b'',b'9999cag',b'          50',b'9999',b'',94,b'20201106',1,3382,b'0',b''
b'9999',b'044392',b'sc2012',b'5',b'044392',b'INE',b'        2049',b'1',b'        2695',b'9999',b'9999044392',b'',b'sc2012',b'3',b'1',230.0,18,b'20201105',b'20:09:52',b'',b'',b'9999cag',b'          51',b'9999',b'',96,b'20201106',1,3383,b'0',b''
b'9999',b'044392',b'sc2012',b'6',b'044392',b'INE',b'        2050',b'1',b'        2696',b'9999',b'9999044392',b'',b'sc2012',b'3',b'1',230.0,10,b'20201105',b'20:10:04',b'',b'',b'9999cag',b'          52',b'9999',b'',98,b'20201106',1,3384,b'0',b''
b'9999',b'044392',b'sc2012',b'7',b'044392',b'INE',b'        2051',b'0',b'        2697',b'9999',b'9999044392',b'',b'sc2012',b'0',b'1',230.0,15,b'20201105',b'20:10:40',b'',b'',b'9999cag',b'          53',b'9999',b'',100,b'20201106',1,3385,b'0',b''
b'9999',b'044392',b'sc2012',b'8',b'044392',b'INE',b'        2059',b'1',b'        2706',b'9999',b'9999044392',b'',b'sc2012',b'3',b'1',229.9,18,b'20201105',b'20:11:16',b'',b'',b'9999cag',b'          54',b'9999',b'',102,b'20201106',1,3395,b'0',b''
b'9999',b'044392',b'sc2012',b'9',b'044392',b'INE',b'        2072',b'1',b'        2722',b'9999',b'9999044392',b'',b'sc2012',b'3',b'1',229.9,6,b'20201105',b'20:11:28',b'',b'',b'9999cag',b'          55',b'9999',b'',104,b'20201106',1,3413,b'0',b''
b'9999',b'044392',b'a2101',b'10',b'044392',b'DCE',b'        2111',b'0',b'        2806',b'9999',b'9999044392',b'',b'a2101',b'0',b'1',5217.0,18,b'20201105',b'20:14:05',b'',b'',b'9999caf',b'         146',b'9999',b'',211,b'20201106',1,3542,b'0',b''
b'9999',b'044392',b'a2101',b'11',b'044392',b'DCE',b'        2112',b'0',b'        2807',b'9999',b'9999044392',b'',b'a2101',b'0',b'1',5216.0,3,b'20201105',b'20:14:17',b'',b'',b'9999caf',b'         147',b'9999',b'',213,b'20201106',1,3543,b'0',b''
b'9999',b'044392',b'a2101',b'12',b'044392',b'DCE',b'        2248',b'1',b'        3006',b'9999',b'9999044392',b'',b'a2101',b'1',b'1',5216.0,18,b'20201105',b'20:18:31',b'',b'',b'9999caf',b'         208',b'9999',b'',304,b'20201106',1,3806,b'0',b''
b'9999',b'044392',b'a2101',b'13',b'044392',b'DCE',b'        2255',b'1',b'        3015',b'9999',b'9999044392',b'',b'a2101',b'1',b'1',5216.0,3,b'20201105',b'20:18:43',b'',b'',b'9999caf',b'         211',b'9999',b'',310,b'20201106',1,3816,b'0',b''
